172.22.148.5,25973,140.205.228.61,53,域名解析,1/1,117B/133B,2018-04-10 16:17:50,2018-04-10 16:20:51
192.168.64.3,30794,162.251.82.252,53,域名解析,1/1,84B/100B,2018-04-10 16:17:50,2018-04-10 16:20:51
192.168.64.3,25884,111.161.107.195,53,域名解析,1/1,84B/134B,2018-04-10 16:17:50,2018-04-10 16:20:51
192.168.70.232,54383,218.30.118.6,53,域名解析,1/1,71B/87B,2018-04-10 16:17:50,2018-04-10 16:20:51
192.168.77.123,38899,221.197.110.14,26018,迅雷,35/0,2.9KB/0B,2018-04-10 16:17:41,2018-04-10 16:20:51
192.168.77.123,38895,111.165.199.252,12346,迅雷,35/0,2.9KB/0B,2018-04-10 16:17:41,2018-04-10 16:20:51
172.22.157.174,50349,124.88.189.10,21531,飞信,155/0,23.9KB/0B,2018-04-10 16:19:50,2018-04-10 16:20:51
192.168.72.137,19785,203.59.88.204,4672,其他UDP应用,1/0,44B/0B,2018-04-10 16:20:21,2018-04-10 16:20:51
172.22.148.5,20811,111.206.53.6,53,域名解析,1/1,88B/284B,2018-04-10 16:17:50,2018-04-10 16:20:51
172.22.152.178,12345,39.82.176.130,0,迅雷,1/0,80B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
192.168.75.33,20482,150.138.229.156,17788,其他UDP应用,1/0,132B/0B,2018-04-10 16:20:21,2018-04-10 16:20:51
172.22.157.194,20545,150.138.229.142,17788,其他UDP应用,1/0,132B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
192.168.64.3,43850,106.11.141.129,53,域名解析,1/0,86B/0B,2018-04-10 16:20:21,2018-04-10 16:20:51
172.22.157.226,20502,115.231.177.11,17788,其他UDP应用,1/0,132B/0B,2018-04-10 16:20:21,2018-04-10 16:20:51
192.168.77.123,38900,221.197.110.14,8110,迅雷,35/0,2.8KB/0B,2018-04-10 16:17:41,2018-04-10 16:20:51
172.22.152.178,20342,76.230.148.186,4674,其他UDP应用,1/0,69B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
172.22.152.99,47530,140.142.16.34,123,其他UDP应用,1/0,90B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
172.22.149.250,41945,119.188.133.195,17788,其他UDP应用,2/0,285B/0B,2018-04-10 16:20:13,2018-04-10 16:20:51
172.22.157.226,20502,117.148.174.164,17788,其他UDP应用,1/0,132B/0B,2018-04-10 16:20:21,2018-04-10 16:20:51
192.168.64.3,35734,59.47.232.238,53,域名解析,1/0,99B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
192.168.64.3,37874,61.129.8.141,53,域名解析,1/0,81B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
192.168.76.60,2094,180.97.200.233,10618,其他UDP应用,5/0,530B/0B,2018-04-10 16:20:17,2018-04-10 16:20:51
172.22.157.253,28254,119.188.13.173,17788,其他UDP应用,1/0,132B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
172.22.157.132,6253,101.227.22.34,17788,其他UDP应用,1/0,132B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
172.22.157.235,21992,58.240.173.32,17788,其他UDP应用,1/0,138B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
192.168.68.174,46815,61.135.169.125,443,HTTPS,9/10,1.9KB/1004B,2018-04-10 16:19:05,2018-04-10 16:20:51
192.168.68.19,50835,111.206.61.161,53,域名解析,1/0,312B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
172.22.157.135,49143,201.250.220.59,4672,其他UDP应用,1/0,44B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
192.168.66.204,22287,220.93.24.104,4672,其他UDP应用,1/0,44B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
172.22.151.6,17826,101.227.201.36,17788,其他UDP应用,1/0,138B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
192.168.72.74,26585,121.28.72.186,33975,其他UDP应用,6/0,660B/0B,2018-04-10 16:19:57,2018-04-10 16:20:51
58.248.103.80,42483,172.22.152.230,3128,网络代理,6/13,642B/4.4KB,2018-04-10 16:18:24,2018-04-10 16:20:51
192.168.76.225,25569,59.173.122.239,4351,其他UDP应用,1/0,44B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
192.168.66.97,18522,101.227.22.13,17788,其他UDP应用,1/0,147B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
172.22.154.133,53818,202.108.23.152,80,百度在线翻译,17/16,8.8KB/2.6KB,2018-04-10 16:20:03,2018-04-10 16:20:51
110.75.242.144,39517,172.22.148.75,9909,POST应用,5/3,1.2KB/1.1KB,2018-04-10 16:20:40,2018-04-10 16:20:51
192.168.68.174,46785,61.135.169.121,443,HTTPS,47/63,7.9KB/59KB,2018-04-10 16:19:03,2018-04-10 16:20:51
192.168.72.177,52000,42.81.85.149,80,HTTP网页浏览,8/16,784B/17.4KB,2018-04-10 16:19:39,2018-04-10 16:20:51
192.168.68.172,28688,182.254.18.178,80,HTTP网页浏览,18/18,1.5KB/17.6KB,2018-04-10 16:20:22,2018-04-10 16:20:51
192.168.70.237,61407,112.80.255.252,443,HTTPS,8/15,777B/5KB,2018-04-10 16:20:37,2018-04-10 16:20:51
117.93.31.212,62423,172.22.152.230,3128,网络代理,14/27,2.6KB/24.6KB,2018-04-10 16:20:46,2018-04-10 16:20:51
192.168.70.237,61459,123.125.115.99,443,HTTPS,11/15,962B/5KB,2018-04-10 16:20:37,2018-04-10 16:20:51
192.168.76.197,4342,180.76.179.105,443,HTTPS,15/15,3.8KB/4.8KB,2018-04-10 16:20:12,2018-04-10 16:20:51
172.13.2.7,54121,172.147.102.229,445,其他TCP应用,3/3,194B/162B,2018-04-10 16:20:48,2018-04-10 16:20:51
172.13.2.12,51892,153.177.137.66,445,其他TCP应用,3/3,194B/162B,2018-04-10 16:20:49,2018-04-10 16:20:51
192.168.68.76,1848,105.33.102.122,445,其他TCP应用,3/3,186B/162B,2018-04-10 16:20:48,2018-04-10 16:20:51
172.13.2.9,53366,138.193.7.31,445,其他TCP应用,2/2,132B/108B,2018-04-10 16:20:49,2018-04-10 16:20:51
223.99.141.5,28821,172.22.152.230,3128,HTTP网页浏览,90/169,6.5KB/232.8KB,2018-04-10 16:20:47,2018-04-10 16:20:51
192.168.72.136,49913,163.177.67.215,1863,QQ音乐,4/4,296B/243B,2018-04-10 16:20:44,2018-04-10 16:20:51
192.168.68.76,1865,31.83.231.51,445,其他TCP应用,3/3,186B/162B,2018-04-10 16:20:49,2018-04-10 16:20:51
172.13.2.7,54129,6.62.32.89,445,其他TCP应用,3/3,194B/162B,2018-04-10 16:20:49,2018-04-10 16:20:51
172.22.151.71,56345,61.135.189.215,80,POST应用,13/8,2.7KB/1.3KB,2018-04-10 16:19:44,2018-04-10 16:20:51
192.168.70.175,52793,113.108.21.49,1863,QQ音乐,5/4,350B/235B,2018-04-10 16:20:49,2018-04-10 16:20:51
192.168.65.100,50002,125.39.6.19,80,HTTP网页浏览,7/6,1.2KB/1012B,2018-04-10 16:20:49,2018-04-10 16:20:51
47.93.50.183,47980,172.22.152.230,3128,HTTP网页浏览,8/6,945B/4.5KB,2018-04-10 16:20:49,2018-04-10 16:20:51
172.13.2.9,53264,34.181.37.100,445,其他TCP应用,3/3,194B/162B,2018-04-10 16:20:48,2018-04-10 16:20:51
172.13.2.6,53784,197.66.120.19,445,其他TCP应用,3/3,194B/162B,2018-04-10 16:20:48,2018-04-10 16:20:51
195.250.64.146,55666,172.22.152.230,3128,HTTP网页浏览,15/15,1.7KB/4.2KB,2018-04-10 16:20:46,2018-04-10 16:20:51
192.168.68.76,1824,96.39.74.107,445,其他TCP应用,3/3,186B/162B,2018-04-10 16:20:48,2018-04-10 16:20:51
111.121.103.243,6345,192.168.68.170,12433,BT,6/6,388B/324B,2018-04-10 16:20:48,2018-04-10 16:20:51
192.168.68.76,1808,69.4.2.61,445,其他TCP应用,3/3,186B/162B,2018-04-10 16:20:48,2018-04-10 16:20:51
172.13.2.6,53779,124.124.214.39,445,其他TCP应用,3/3,194B/162B,2018-04-10 16:20:48,2018-04-10 16:20:51
192.168.68.76,1805,55.99.9.50,445,其他TCP应用,3/3,186B/162B,2018-04-10 16:20:48,2018-04-10 16:20:51
192.168.68.76,1757,12.77.103.1,445,其他TCP应用,3/3,186B/162B,2018-04-10 16:20:48,2018-04-10 16:20:51
172.13.2.2,59666,159.237.75.158,445,其他TCP应用,3/3,194B/162B,2018-04-10 16:20:48,2018-04-10 16:20:51
192.168.78.42,53417,111.161.99.252,443,HTTPS,9/8,840B/5.7KB,2018-04-10 16:20:38,2018-04-10 16:20:51
192.168.68.76,1754,58.124.247.97,445,其他TCP应用,3/3,186B/162B,2018-04-10 16:20:48,2018-04-10 16:20:51
172.13.2.5,53496,130.169.171.48,445,其他TCP应用,2/2,132B/108B,2018-04-10 16:20:49,2018-04-10 16:20:51
192.168.78.42,53391,111.161.99.252,443,HTTPS,9/8,840B/5.7KB,2018-04-10 16:20:38,2018-04-10 16:20:51
172.13.2.2,59655,4.17.8.214,445,其他TCP应用,3/3,194B/162B,2018-04-10 16:20:48,2018-04-10 16:20:51
122.114.188.23,54323,172.22.152.230,3128,HTTP网页浏览,7/5,826B/583B,2018-04-10 16:20:49,2018-04-10 16:20:51
172.13.2.6,53805,51.61.4.151,445,其他TCP应用,2/2,132B/108B,2018-04-10 16:20:48,2018-04-10 16:20:51
192.168.68.76,1763,69.54.86.21,445,其他TCP应用,3/3,186B/162B,2018-04-10 16:20:48,2018-04-10 16:20:51
192.168.77.123,52315,101.4.60.73,80,360安全软件更新,19/18,1.7KB/19KB,2018-04-10 16:20:45,2018-04-10 16:20:51
172.22.152.230,56521,47.100.200.220,10013,HTTP网页浏览,5/6,872B/389B,2018-04-10 16:20:49,2018-04-10 16:20:51
192.168.77.123,52575,60.28.115.21,80,其他TCP应用,3/1,174B/66B,2018-04-10 16:20:49,2018-04-10 16:20:51
172.13.2.2,59688,2.243.24.116,445,其他TCP应用,2/2,132B/108B,2018-04-10 16:20:48,2018-04-10 16:20:51
172.13.2.9,53206,72.46.172.150,445,其他TCP应用,3/3,194B/162B,2018-04-10 16:20:48,2018-04-10 16:20:51
172.22.155.220,6743,140.205.29.234,80,淘宝网,11/3,4.7KB/710B,2018-04-10 16:17:30,2018-04-10 16:20:51
192.168.70.220,50734,125.39.134.48,443,HTTPS,122/190,28.2KB/189.2KB,2018-04-10 16:19:20,2018-04-10 16:20:51
172.13.2.10,51356,53.164.4.187,445,其他TCP应用,2/2,132B/108B,2018-04-10 16:20:48,2018-04-10 16:20:51
